EgoID,AlterID,Completed_1,Completed_2,Completed_3,Completed_5,Completed_6,Rel.type_1,Rel.type_2,Rel.type_3,Rel.type_5,Rel.type_6,NumOfEvents_1,NumOfEvents_2,NumOfEvents_3,NumOfEvents_5,NumOfEvents_6,RelationshipOverTime,TippingPoint
11023,144571,2011-08-28,2012-02-11,2012-05-17,2013-02-04,NA,NA,Friend,Friend,Friend,NA,532,1148,1244,344,45,friendship-stable,NA
11023,168149,2011-08-28,2012-02-11,2012-05-17,2013-02-04,NA,Friend,Friend,Friend,NA,NA,52,22,37,0,0,friendship-relaxing,5
11023,156550,2011-08-28,2012-02-11,2012-05-17,2013-02-04,NA,NA,NA,Friend,Friend,NA,373,267,390,121,1,friendship-stable,NA
11023,114536,2011-08-28,2012-02-11,2012-05-17,2013-02-04,NA,Friend,NA,Friend,Friend,NA,92,50,328,121,3,friendship-stable,NA
11023,148720,2011-08-28,2012-02-11,2012-05-17,2013-02-04,NA,Sibling,Sibling,Sibling,Sibling,NA,236,145,431,40,1,family-stable,NA
11023,111236,2011-08-28,2012-02-11,2012-05-17,2013-02-04,NA,NA,Acquaintance,NA,NA,NA,121,15,0,0,0,single-desc,NA
11023,125296,2011-08-28,2012-02-11,2012-05-17,2013-02-04,NA,Friend,Friend,Friend,Friend,NA,81,30,55,0,3,friendship-stable,NA
11023,112565,2011-08-28,2012-02-11,2012-05-17,2013-02-04,NA,Friend,NA,NA,NA,NA,33,0,13,0,0,single-desc,NA
11023,127838,2011-08-28,2012-02-11,2012-05-17,2013-02-04,NA,Parent,Parent,Parent,Parent,NA,206,41,133,53,1,family-stable,NA
11023,155108,2011-08-28,2012-02-11,2012-05-17,2013-02-04,NA,Friend,Friend,NA,Friend,NA,186,0,163,23,0,friendship-stable,NA
11023,166980,2011-08-28,2012-02-11,2012-05-17,2013-02-04,NA,NA,Friend,Friend,Friend,NA,372,22,5,6,0,friendship-stable,NA
11023,147795,2011-08-28,2012-02-11,2012-05-17,2013-02-04,NA,NA,Friend,Friend,NA,NA,492,183,3,0,0,friendship-relaxing,5
11023,193241,2011-08-28,2012-02-11,2012-05-17,2013-02-04,NA,NA,NA,NA,Friend,NA,0,0,15,12,0,single-desc,NA
11023,189277,2011-08-28,2012-02-11,2012-05-17,2013-02-04,NA,NA,Parent,NA,NA,NA,188,246,900,250,5,single-desc,NA
11023,156324,2011-08-28,2012-02-11,2012-05-17,2013-02-04,NA,NA,Friend,Friend,Friend,NA,557,130,40,4,0,friendship-stable,NA
11023,117439,2011-08-28,2012-02-11,2012-05-17,2013-02-04,NA,NA,Acquaintance,NA,NA,NA,30,20,3,0,0,single-desc,NA
11023,109733,2011-08-28,2012-02-11,2012-05-17,2013-02-04,NA,Friend,Friend,Friend,Friend,NA,11,19,146,9,0,friendship-stable,NA
11023,183484,2011-08-28,2012-02-11,2012-05-17,2013-02-04,NA,NA,NA,Friend,Friend,NA,0,67,31,27,8,friendship-stable,NA
11023,124676,2011-08-28,2012-02-11,2012-05-17,2013-02-04,NA,Friend,Friend,Friend,Friend,NA,102,0,84,0,0,friendship-stable,NA
11023,191682,2011-08-28,2012-02-11,2012-05-17,2013-02-04,NA,Friend,NA,Friend,Friend,NA,148,49,152,8,0,friendship-stable,NA
