SenderID;ReceiverID;EventTime
157480;11023;2011-12-06 22:29:23
11023;144571;2011-12-06 22:29:32
11023;157480;2011-12-06 22:30:06
157480;11023;2011-12-06 22:30:55
11023;157480;2011-12-06 22:31:48
157480;11023;2011-12-06 22:33:03
11023;157480;2011-12-06 22:34:23
157480;11023;2011-12-06 22:35:31
157480;11023;2011-12-06 22:41:09
11023;157480;2011-12-06 22:43:56
157480;11023;2011-12-06 22:46:42
157480;11023;2011-12-06 22:46:52
11023;157480;2011-12-06 22:52:36
157480;11023;2011-12-06 22:54:44
157480;11023;2011-12-06 22:54:55
11023;157480;2011-12-06 22:57:30
157480;11023;2011-12-06 22:59:22
11023;157480;2011-12-06 23:02:53
157480;11023;2011-12-06 23:04:02
11023;157480;2011-12-06 23:08:22
157480;11023;2011-12-06 23:11:47
11023;157480;2011-12-06 23:12:30
157480;11023;2011-12-06 23:13:04
11023;157480;2011-12-06 23:15:48
157480;11023;2011-12-06 23:16:44
11023;157480;2011-12-06 23:18:42
157480;11023;2011-12-06 23:19:48
11023;157480;2011-12-06 23:22:11
147795;11023;2011-12-06 23:22:14
11023;147795;2011-12-06 23:22:30
157480;11023;2011-12-06 23:23:45
11023;157480;2011-12-06 23:27:46
157480;11023;2011-12-06 23:28:33
11023;157480;2011-12-06 23:30:27
157480;11023;2011-12-06 23:31:24
11023;157480;2011-12-06 23:32:03
157480;11023;2011-12-06 23:32:36
11023;157480;2011-12-06 23:33:49
157480;11023;2011-12-06 23:34:39
11023;157480;2011-12-06 23:35:34
157480;11023;2011-12-07 02:40:05
11023;157480;2011-12-07 02:41:11
157480;11023;2011-12-07 02:41:53
11023;157480;2011-12-07 02:43:17
157480;11023;2011-12-07 02:44:01
11023;157480;2011-12-07 02:45:00
11023;157480;2011-12-07 02:45:13
157480;11023;2011-12-07 02:47:21
157480;11023;2011-12-07 02:47:31
11023;157480;2011-12-07 02:49:11
11023;157480;2011-12-07 02:49:44
157480;11023;2011-12-07 02:51:01
11023;157480;2011-12-07 02:54:33
11023;157480;2011-12-07 04:20:07
11023;157480;2011-12-07 04:21:58
157480;11023;2011-12-07 05:36:07
11023;157480;2011-12-07 05:39:15
11023;157480;2011-12-07 05:40:28
157480;11023;2011-12-07 05:41:50
11023;157480;2011-12-07 05:44:54
157480;11023;2011-12-07 05:47:18
11023;157480;2011-12-07 05:48:49
157480;11023;2011-12-07 05:49:52
11023;157480;2011-12-07 05:50:57
157480;11023;2011-12-07 05:52:25
11023;157480;2011-12-07 05:56:29
157480;11023;2011-12-07 05:58:50
11023;157480;2011-12-07 06:02:20
157480;11023;2011-12-07 06:03:47
11023;157480;2011-12-07 06:04:17
157480;11023;2011-12-07 06:05:30
11023;157480;2011-12-07 06:08:31
157480;11023;2011-12-07 06:11:52
11023;157480;2011-12-07 06:14:28
157480;11023;2011-12-07 06:17:00
157480;11023;2011-12-07 06:17:05
11023;157480;2011-12-07 06:19:21
11023;157480;2011-12-07 06:19:50
157480;11023;2011-12-07 06:22:44
157480;11023;2011-12-07 06:22:54
11023;157480;2011-12-07 06:25:20
11023;157480;2011-12-07 06:25:56
157480;11023;2011-12-07 06:26:45
11023;157480;2011-12-07 06:28:51
157480;11023;2011-12-07 06:29:58
11023;157480;2011-12-07 06:32:47
157480;11023;2011-12-07 06:34:19
11023;157480;2011-12-07 06:37:24
157480;11023;2011-12-07 06:39:22
157480;11023;2011-12-07 06:39:32
11023;157480;2011-12-07 06:42:15
157480;11023;2011-12-07 06:45:57
157480;11023;2011-12-07 06:46:07
11023;157480;2011-12-07 06:48:49
157480;11023;2011-12-07 06:50:43
157480;11023;2011-12-07 13:18:39
11023;157480;2011-12-07 13:19:06
157480;11023;2011-12-07 13:24:32
11023;157480;2011-12-07 16:26:58
11023;157480;2011-12-07 16:27:50
157480;11023;2011-12-07 18:59:22
11023;157480;2011-12-07 19:22:05
157480;11023;2011-12-07 19:31:32
11023;157480;2011-12-07 19:32:02
157480;11023;2011-12-07 19:33:00
11023;157480;2011-12-07 19:33:23
157480;11023;2011-12-07 19:34:11
11023;157480;2011-12-07 19:41:59
157480;11023;2011-12-07 19:43:50
147795;11023;2011-12-07 19:53:19
156324;11023;2011-12-07 21:55:51
11023;157480;2011-12-07 21:59:47
157480;11023;2011-12-07 22:03:01
11023;157480;2011-12-07 22:05:32
11023;157480;2011-12-07 22:07:34
157480;11023;2011-12-07 22:07:49
157480;11023;2011-12-07 22:08:39
11023;157480;2011-12-07 22:36:07
157480;11023;2011-12-07 22:37:01
11023;157480;2011-12-07 22:37:42
157480;11023;2011-12-07 22:45:05
157480;11023;2011-12-07 23:54:22
11023;157480;2011-12-07 23:55:07
157480;11023;2011-12-07 23:58:13
11023;157480;2011-12-07 23:59:47
157480;11023;2011-12-08 00:27:55
157480;11023;2011-12-08 00:27:57
11023;157480;2011-12-08 00:28:26
157480;11023;2011-12-08 00:30:29
157480;11023;2011-12-08 00:30:39
11023;157480;2011-12-08 00:31:38
157480;11023;2011-12-08 00:32:31
11023;157480;2011-12-08 00:34:47
157480;11023;2011-12-08 00:36:01
11023;157480;2011-12-08 00:36:23
157480;11023;2011-12-08 00:37:18
11023;157480;2011-12-08 00:38:22
157480;11023;2011-12-08 00:39:21
157480;11023;2011-12-08 03:36:50
11023;157480;2011-12-08 03:37:15
157480;11023;2011-12-08 03:39:30
11023;157480;2011-12-08 03:42:03
157480;11023;2011-12-08 03:43:30
11023;157480;2011-12-08 03:44:48
157480;11023;2011-12-08 03:46:44
11023;157480;2011-12-08 03:50:16
157480;11023;2011-12-08 03:51:36
11023;157480;2011-12-08 03:53:55
157480;11023;2011-12-08 03:55:00
157480;11023;2011-12-08 03:55:36
11023;157480;2011-12-08 03:57:27
157480;11023;2011-12-08 03:58:04
11023;157480;2011-12-08 03:59:15
11023;157480;2011-12-08 03:59:34
157480;11023;2011-12-08 04:00:19
11023;157480;2011-12-08 04:03:20
157480;11023;2011-12-08 04:04:25
11023;157480;2011-12-08 04:06:42
157480;11023;2011-12-08 04:09:07
11023;157480;2011-12-08 04:13:53
157480;11023;2011-12-08 04:15:14
11023;157480;2011-12-08 04:17:12
157480;11023;2011-12-08 04:18:02
11023;157480;2011-12-08 04:20:30
157480;11023;2011-12-08 04:21:34
11023;157480;2011-12-08 04:22:23
157480;11023;2011-12-08 04:25:49
11023;157480;2011-12-08 04:26:40
157480;11023;2011-12-08 04:27:52
11023;157480;2011-12-08 04:30:13
11023;156324;2011-12-08 16:00:33
156324;11023;2011-12-08 16:51:53
157480;11023;2011-12-08 17:00:35
11023;157480;2011-12-08 17:02:59
157480;11023;2011-12-08 17:04:36
156324;11023;2011-12-08 17:18:35
11023;156324;2011-12-08 17:19:05
11023;157480;2011-12-08 17:20:23
156324;11023;2011-12-08 17:25:00
157480;11023;2011-12-08 17:25:35
11023;157480;2011-12-08 17:28:07
157480;11023;2011-12-08 17:29:36
11023;157480;2011-12-08 17:34:22
157480;11023;2011-12-08 17:35:35
11023;156324;2011-12-08 17:37:37
157480;11023;2011-12-08 22:18:37
11023;157480;2011-12-08 22:20:26
11023;147795;2011-12-08 22:20:37
157480;11023;2011-12-08 22:20:59
11023;157480;2011-12-08 22:21:30
157480;11023;2011-12-08 22:22:02
11023;362305;2011-12-08 22:22:38
11023;157480;2011-12-08 22:23:42
11023;157480;2011-12-08 22:24:33
157480;11023;2011-12-08 22:25:48
11023;157480;2011-12-08 22:28:43
11023;157480;2011-12-08 22:28:51
11023;528855;2011-12-08 22:30:05
157480;11023;2011-12-08 22:30:18
11023;157480;2011-12-08 22:32:03
11023;15723;2011-12-08 22:33:48
11023;156324;2011-12-08 22:33:48
11023;147795;2011-12-08 22:33:48
11023;144571;2011-12-08 22:33:48
11023;166980;2011-12-08 22:33:48
11023;111236;2011-12-08 22:33:48
156324;11023;2011-12-08 22:34:35
11023;156324;2011-12-08 22:35:09
156324;11023;2011-12-08 22:35:52
11023;156324;2011-12-08 22:36:11
144571;11023;2011-12-08 22:40:49
11023;144571;2011-12-08 22:43:39
144571;11023;2011-12-08 22:44:24
144571;11023;2011-12-08 22:44:34
166980;11023;2011-12-08 22:45:31
11023;166980;2011-12-08 22:45:59
11023;144571;2011-12-08 22:46:13
147795;11023;2011-12-08 23:01:18
11023;147795;2011-12-08 23:02:32
147795;11023;2011-12-08 23:03:46
11023;147795;2011-12-08 23:03:59
166980;11023;2011-12-08 23:04:01
147795;11023;2011-12-08 23:04:58
111236;11023;2011-12-08 23:05:19
11023;111236;2011-12-08 23:05:57
157480;11023;2011-12-08 23:55:29
11023;157480;2011-12-08 23:56:47
11023;157480;2011-12-09 00:15:11
157480;11023;2011-12-09 00:16:09
11023;157480;2011-12-09 00:16:37
11023;528855;2011-12-09 00:18:39
157480;11023;2011-12-09 00:20:20
157480;11023;2011-12-09 00:20:25
157480;11023;2011-12-09 00:20:26
157480;11023;2011-12-09 00:20:27
11023;157480;2011-12-09 00:22:24
157480;11023;2011-12-09 00:22:43
11023;157480;2011-12-09 00:23:29
157480;11023;2011-12-09 00:26:38
11023;157480;2011-12-09 00:27:19
157480;11023;2011-12-09 00:27:54
157480;11023;2011-12-09 00:28:40
11023;157480;2011-12-09 00:30:36
157480;11023;2011-12-09 00:32:36
157480;11023;2011-12-09 00:32:47
11023;157480;2011-12-09 00:34:56
157480;11023;2011-12-09 00:38:45
11023;157480;2011-12-09 00:39:59
157480;11023;2011-12-09 00:41:54
157480;11023;2011-12-09 00:42:04
157480;11023;2011-12-09 00:42:20
11023;157480;2011-12-09 00:43:28
