EgoID,AlterID,Completed_1,Completed_2,Completed_3,Completed_4,Completed_5,Completed_6,Completed_7,Completed_8,Rel.type_1,Rel.type_2,Rel.type_3,Rel.type_4,Rel.type_5,Rel.type_6,Rel.type_7,Rel.type_8,NumOfEvents_1,NumOfEvents_2,NumOfEvents_3,NumOfEvents_4,NumOfEvents_5,NumOfEvents_6,NumOfEvents_7,NumOfEvents_8,RelationshipOverTime,TippingPoint
10469,207787,NA,NA,2016-06-27T00:03:30Z,2016-11-13T23:37:46Z,2017-04-23T23:47:09Z,2017-11-28T00:44:35Z,NA,NA,NA,Family,Family,Family,NA,NA,NA,NA,2638,294,637,443,791,473,0,0,family-relaxing,5
10153,363337,NA,NA,2016-06-26T20:42:08Z,2016-11-01T14:05:24Z,2017-04-10T18:42:23Z,2017-11-14T21:41:54Z,2018-05-05T21:54:11Z,NA,NA,NA,Family,Family,NA,NA,NA,NA,2676,441,412,430,206,344,394,34,family-relaxing,5
10153,220156,NA,NA,2016-06-26T20:42:08Z,2016-11-01T14:05:24Z,2017-04-10T18:42:23Z,2017-11-14T21:41:54Z,2018-05-05T21:54:11Z,NA,NA,NA,Friend,NA,NA,NA,NA,NA,2107,150,451,291,169,344,51,0,single-desc,NA
10153,624574,NA,NA,2016-06-26T20:42:08Z,2016-11-01T14:05:24Z,2017-04-10T18:42:23Z,2017-11-14T21:41:54Z,2018-05-05T21:54:11Z,NA,NA,NA,Friend,NA,NA,NA,Friend,NA,2312,247,395,165,170,409,109,0,friendship-stable,NA
10153,288854,NA,NA,2016-06-26T20:42:08Z,2016-11-01T14:05:24Z,2017-04-10T18:42:23Z,2017-11-14T21:41:54Z,2018-05-05T21:54:11Z,NA,NA,NA,Friend,NA,NA,NA,NA,NA,1704,69,737,13,63,139,320,0,single-desc,NA
10469,466602,NA,NA,2016-06-27T00:03:30Z,2016-11-13T23:37:46Z,2017-04-23T23:47:09Z,2017-11-28T00:44:35Z,NA,NA,NA,NA,Family,NA,NA,NA,NA,NA,2554,521,960,387,567,119,0,0,single-desc,NA
10153,155221,NA,NA,2016-06-26T20:42:08Z,2016-11-01T14:05:24Z,2017-04-10T18:42:23Z,2017-11-14T21:41:54Z,2018-05-05T21:54:11Z,NA,NA,NA,NA,Family,NA,Family,Family,NA,6447,1216,914,585,899,877,945,42,family-stable,NA
10153,66815,NA,NA,2016-06-26T20:42:08Z,2016-11-01T14:05:24Z,2017-04-10T18:42:23Z,2017-11-14T21:41:54Z,2018-05-05T21:54:11Z,NA,NA,NA,NA,NA,NA,Friend,NA,NA,1089,0,0,0,0,717,363,9,single-desc,NA
10237,530826,2015-08-06T12:56:11Z,2016-02-05T20:07:41Z,2016-06-26T22:17:59Z,2016-11-01T15:29:04Z,2017-04-10T21:23:55Z,2017-11-15T22:06:52Z,2018-05-01T20:00:49Z,2019-04-16T12:42:13Z,NA,NA,NA,NA,NA,Family,NA,NA,95,57,35,61,45,119,72,81,single-desc,NA
10469,82587,NA,NA,2016-06-27T00:03:30Z,2016-11-13T23:37:46Z,2017-04-23T23:47:09Z,2017-11-28T00:44:35Z,NA,NA,NA,NA,NA,NA,NA,Friend,NA,NA,421,20,0,0,89,289,22,1,single-desc,NA
10469,413170,NA,NA,2016-06-27T00:03:30Z,2016-11-13T23:37:46Z,2017-04-23T23:47:09Z,2017-11-28T00:44:35Z,NA,NA,NA,NA,NA,NA,NA,Friend,NA,NA,7352,0,246,3230,1823,2053,0,0,single-desc,NA
10469,250736,NA,NA,2016-06-27T00:03:30Z,2016-11-13T23:37:46Z,2017-04-23T23:47:09Z,2017-11-28T00:44:35Z,NA,NA,NA,NA,NA,NA,NA,Friend,NA,NA,142,0,0,0,42,100,0,0,single-desc,NA
